STUDENT,CRSE,GRADE_CATGORY,CRSE_SEM,GRAD_SEM
297,166,1,1.0,7.0
299,150,1,3.0,0.0
304,166,1,1.0,8.0
304,207,1,2.0,8.0
305,165,1,1.0,8.0
305,207,1,3.0,8.0
305,166,1,2.0,8.0
305,495,1,4.0,8.0
306,143,1,1.0,8.0
307,165,1,1.0,0.0
307,166,1,2.0,0.0
308,140,1,6.0,10.0
309,165,1,1.0,8.0
310,101,1,5.0,8.0
310,201,1,5.0,8.0
310,317,1,5.0,8.0
310,166,1,4.0,8.0
310,265,1,4.0,8.0
310,267,1,4.0,8.0
310,301,1,6.0,8.0
310,341,1,6.0,8.0
310,490,1,6.0,8.0
310,414,1,6.0,8.0
312,104,1,4.0,7.0
314,104,1,6.0,0.0
315,165,1,4.0,8.0
318,104,1,4.0,9.0
323,207,-1,2.0,0.0
326,181,1,3.0,0.0
327,101,1,1.0,0.0
327,201,1,1.0,0.0
327,265,1,1.0,0.0
327,267,1,2.0,0.0
327,317,-1,2.0,0.0
327,301,1,3.0,0.0
327,385,1,3.0,0.0
327,302,-1,4.0,0.0
327,350,1,4.0,0.0
327,304,1,5.0,0.0
327,492,1,5.0,0.0
333,150,1,2.0,8.0
334,101,1,3.0,8.0
334,165,1,3.0,8.0
334,166,1,4.0,8.0
334,201,1,5.0,8.0
334,265,1,5.0,8.0
334,301,1,7.0,8.0
334,341,1,7.0,8.0
334,435,1,7.0,8.0
334,266,1,6.0,8.0
334,317,1,6.0,8.0
334,350,1,8.0,8.0
334,397,1,8.0,8.0
334,436,1,8.0,8.0
334,492,1,8.0,8.0
334,414,1,8.0,8.0
336,265,-1,4.0,8.0
336,143,1,1.0,8.0
336,165,1,2.0,8.0
336,166,1,3.0,8.0
338,165,1,1.0,0.0
338,166,1,2.0,0.0
339,166,1,1.0,7.0
340,104,1,3.0,6.0
341,201,1,3.0,8.0
341,265,1,3.0,8.0
341,166,1,2.0,8.0
341,301,1,5.0,8.0
341,435,1,5.0,8.0
341,267,1,4.0,8.0
341,317,1,4.0,8.0
341,341,1,4.0,8.0
341,414,1,7.0,8.0
341,497,1,7.0,8.0
341,397,1,6.0,8.0
341,436,1,6.0,8.0
341,101,1,1.0,8.0
341,165,1,1.0,8.0
342,101,1,1.0,9.0
342,143,1,1.0,9.0
342,150,1,2.0,9.0
343,150,1,2.0,0.0
344,150,1,1.0,8.0
345,166,1,5.0,0.0
345,265,1,6.0,0.0
346,165,1,1.0,0.0
346,166,1,2.0,0.0
347,201,1,5.0,8.0
347,207,1,7.0,8.0
348,140,1,4.0,8.0
349,143,1,1.0,7.0
350,150,1,8.0,8.0
350,140,1,8.0,8.0
351,166,-1,4.0,0.0
352,165,1,1.0,8.0
352,265,1,3.0,8.0
352,166,1,2.0,8.0
353,165,-1,1.0,0.0
354,165,1,2.0,8.0
357,104,1,1.0,7.0
358,207,-1,5.0,8.0
359,140,1,4.0,9.0
359,143,1,7.0,9.0
359,165,1,8.0,9.0
362,165,1,1.0,9.0
362,166,1,3.0,9.0
362,166,-1,2.0,9.0
362,207,1,5.0,9.0
362,265,1,4.0,9.0
363,143,-1,1.0,0.0
364,150,-1,3.0,0.0
365,267,1,3.0,9.0
365,385,1,4.0,9.0
365,207,1,6.0,9.0
367,267,-1,3.0,0.0
368,265,1,1.0,0.0
368,267,1,2.0,0.0
372,151,-1,4.0,8.0
373,105,1,4.0,8.0
374,105,1,1.0,0.0
375,140,1,1.0,0.0
376,166,1,1.0,8.0
376,265,1,2.0,8.0
377,166,1,3.0,8.0
377,166,1,3.0,8.0
377,265,1,4.0,8.0
377,265,1,4.0,8.0
377,207,1,6.0,8.0
377,207,1,6.0,8.0
377,495,1,6.0,8.0
377,495,1,6.0,8.0
378,150,1,6.0,0.0
379,104,-1,3.0,0.0
380,166,-1,2.0,10.0
382,165,-1,1.0,0.0
383,207,1,3.0,9.0
383,265,1,7.0,9.0
384,143,1,2.0,0.0
387,104,1,5.0,6.0
387,140,1,6.0,6.0
388,151,1,3.0,10.0
389,166,1,3.0,0.0
389,165,1,2.0,0.0
389,207,1,4.0,0.0
389,140,1,7.0,0.0
389,150,1,1.0,0.0
391,140,1,1.0,0.0
391,143,1,2.0,0.0
392,166,1,1.0,8.0
392,265,1,2.0,8.0
392,207,1,3.0,8.0
393,265,1,2.0,9.0
395,150,1,1.0,8.0
396,166,1,2.0,8.0
397,140,1,3.0,8.0
398,265,1,1.0,6.0
399,140,1,1.0,8.0
399,140,1,1.0,8.0
399,150,1,4.0,8.0
399,150,1,4.0,8.0
400,165,-1,6.0,8.0
401,160,1,7.0,8.0
402,104,1,1.0,8.0
405,165,1,2.0,9.0
406,105,1,2.0,10.0
407,140,1,3.0,6.0
408,143,1,1.0,0.0
408,165,-1,2.0,0.0
409,165,1,1.0,8.0
409,166,-1,3.0,8.0
409,166,-1,4.0,8.0
409,265,-1,5.0,8.0
409,266,-1,6.0,8.0
411,165,1,1.0,6.0
412,166,1,1.0,7.0
412,267,1,3.0,7.0
412,265,1,2.0,7.0
412,207,1,5.0,7.0
412,385,1,4.0,7.0
413,101,1,1.0,0.0
414,101,1,1.0,0.0
416,166,1,3.0,10.0
416,101,1,5.0,10.0
416,267,1,5.0,10.0
416,265,1,4.0,10.0
416,201,1,7.0,10.0
416,341,1,7.0,10.0
416,317,1,8.0,10.0
417,165,1,1.0,8.0
417,265,1,3.0,8.0
417,166,1,2.0,8.0
417,267,1,4.0,8.0
417,201,1,5.0,8.0
417,317,1,5.0,8.0
417,373,1,7.0,8.0
417,341,1,6.0,8.0
417,314,1,8.0,8.0
417,490,1,8.0,8.0
418,165,-1,1.0,8.0
418,165,-1,2.0,8.0
419,143,1,1.0,8.0
419,165,1,2.0,8.0
420,104,1,3.0,9.0
420,140,1,4.0,9.0
421,143,1,1.0,8.0
422,104,1,3.0,8.0
424,140,1,1.0,0.0
424,165,1,3.0,0.0
424,143,1,2.0,0.0
424,166,1,4.0,0.0
426,140,-1,1.0,10.0
426,140,1,3.0,10.0
426,143,1,4.0,10.0
426,165,-1,4.0,10.0
426,166,1,4.0,10.0
426,265,1,8.0,10.0
428,165,1,1.0,4.0
428,166,1,2.0,4.0
428,495,1,2.0,4.0
428,265,1,2.0,4.0
428,207,1,3.0,4.0
429,166,-1,1.0,0.0
430,140,1,4.0,8.0
430,143,1,6.0,8.0
432,165,1,2.0,8.0
433,165,1,1.0,8.0
433,166,1,2.0,8.0
433,265,1,3.0,8.0
433,266,1,4.0,8.0
435,140,1,1.0,11.0
436,166,1,1.0,9.0
436,265,1,2.0,9.0
439,105,1,1.0,8.0
441,101,1,1.0,8.0
441,143,1,1.0,8.0
441,165,1,2.0,8.0
444,104,1,4.0,8.0
445,414,1,6.0,6.0
445,201,1,5.0,6.0
446,160,1,2.0,8.0
447,165,-1,6.0,8.0
448,166,1,1.0,8.0
450,165,1,1.0,7.0
450,166,1,2.0,7.0
450,207,1,2.0,7.0
450,265,1,2.0,7.0
451,166,-1,3.0,8.0
451,166,-1,4.0,8.0
452,207,1,5.0,7.0
453,266,1,4.0,8.0
455,166,-1,2.0,0.0
455,165,1,1.0,0.0
456,105,-1,1.0,10.0
457,140,1,1.0,0.0
457,165,-1,3.0,0.0
457,143,1,2.0,0.0
458,150,1,3.0,8.0
462,165,1,2.0,0.0
462,166,1,2.0,0.0
462,143,1,1.0,0.0
465,143,1,1.0,8.0
465,166,1,3.0,8.0
465,165,1,2.0,8.0
465,207,1,4.0,8.0
468,105,1,4.0,9.0
469,104,1,3.0,9.0
470,267,1,1.0,8.0
471,265,1,8.0,8.0
472,105,-1,4.0,8.0
473,101,1,1.0,4.0
473,301,1,1.0,4.0
473,302,1,2.0,4.0
473,350,1,2.0,4.0
473,365,1,2.0,4.0
473,414,1,2.0,4.0
473,492,1,3.0,4.0
474,265,1,1.0,0.0
475,165,-1,1.0,0.0
475,165,1,2.0,0.0
477,207,-1,8.0,8.0
477,166,1,2.0,8.0
478,165,1,1.0,10.0
480,106,1,1.0,8.0
481,104,-1,8.0,8.0
483,143,1,1.0,6.0
484,140,1,4.0,7.0
484,150,1,5.0,7.0
485,207,1,3.0,8.0
485,166,1,2.0,8.0
486,267,1,1.0,0.0
488,201,1,4.0,8.0
488,201,1,4.0,8.0
488,265,1,4.0,8.0
488,265,1,4.0,8.0
488,317,1,4.0,8.0
488,317,1,4.0,8.0
488,267,1,5.0,8.0
488,267,1,5.0,8.0
488,414,1,8.0,8.0
488,414,1,8.0,8.0
489,166,1,1.0,9.0
491,140,1,1.0,8.0
493,265,1,2.0,0.0
494,165,1,1.0,6.0
496,104,1,1.0,0.0
497,140,1,4.0,8.0
499,150,1,5.0,8.0
499,140,1,6.0,8.0
502,105,1,3.0,6.0
503,165,1,2.0,11.0
503,166,1,3.0,11.0
504,166,1,2.0,11.0
505,150,1,1.0,0.0
506,150,1,4.0,9.0
507,207,1,5.0,8.0
507,207,1,5.0,8.0
507,165,1,1.0,8.0
507,165,1,1.0,8.0
507,166,1,2.0,8.0
507,166,1,2.0,8.0
508,143,-1,3.0,7.0
508,104,1,4.0,7.0
508,140,1,4.0,7.0
509,143,1,1.0,8.0
511,150,1,3.0,8.0
512,165,1,1.0,10.0
512,165,1,1.0,10.0
514,265,1,2.0,11.0
514,207,1,3.0,11.0
515,105,1,2.0,6.0
518,265,1,2.0,0.0
519,265,1,2.0,7.0
519,165,1,1.0,7.0
519,166,1,1.0,7.0
519,207,1,3.0,7.0
522,166,1,1.0,8.0
522,267,1,3.0,8.0
522,317,1,3.0,8.0
522,201,1,2.0,8.0
522,265,1,2.0,8.0
522,301,-1,5.0,8.0
522,435,1,5.0,8.0
522,436,-1,4.0,8.0
522,497,1,7.0,8.0
522,341,1,6.0,8.0
522,397,1,6.0,8.0
522,414,1,6.0,8.0
524,166,1,2.0,7.0
524,265,1,3.0,7.0
524,165,1,1.0,7.0
525,166,-1,5.0,12.0
525,165,-1,4.0,12.0
525,166,-1,6.0,12.0
526,104,1,1.0,6.0
528,143,-1,1.0,0.0
529,266,1,4.0,10.0
530,301,1,5.0,0.0
530,414,1,4.0,0.0
531,165,1,1.0,8.0
532,150,1,2.0,9.0
533,150,-1,5.0,5.0
534,265,1,3.0,8.0
535,104,1,4.0,0.0
536,143,1,1.0,8.0
536,160,1,2.0,8.0
537,266,1,2.0,6.0
537,317,1,2.0,6.0
537,301,1,3.0,6.0
537,341,1,3.0,6.0
537,435,1,3.0,6.0
537,497,1,5.0,6.0
537,397,1,4.0,6.0
537,436,1,4.0,6.0
537,414,1,4.0,6.0
538,165,1,1.0,8.0
538,166,1,2.0,8.0
538,265,-1,3.0,8.0
538,266,1,4.0,8.0
540,165,-1,1.0,0.0
540,165,1,2.0,0.0
541,201,1,3.0,10.0
541,267,1,7.0,10.0
541,350,1,6.0,10.0
541,317,1,8.0,10.0
541,265,1,1.0,10.0
541,267,-1,2.0,10.0
542,150,1,1.0,8.0
543,143,1,1.0,0.0
544,166,1,1.0,8.0
545,145,1,2.0,0.0
547,165,1,1.0,8.0
549,105,-1,2.0,0.0
550,165,1,1.0,10.0
551,140,1,2.0,8.0
552,140,1,3.0,10.0
552,143,-1,2.0,10.0
553,140,1,3.0,9.0
553,150,1,5.0,9.0
554,166,1,1.0,8.0
554,266,1,3.0,8.0
554,265,1,2.0,8.0
555,106,1,7.0,8.0
556,143,1,1.0,0.0
557,104,-1,7.0,10.0
558,143,1,1.0,8.0
560,104,1,1.0,8.0
561,166,1,1.0,8.0
561,265,1,2.0,8.0
565,140,1,3.0,0.0
567,165,-1,1.0,8.0
567,165,1,2.0,8.0
568,201,1,6.0,8.0
568,207,1,5.0,8.0
568,373,1,8.0,8.0
568,492,1,8.0,8.0
568,240,1,7.0,8.0
568,317,1,7.0,8.0
